#{"t_start": 1675258106.3273184, "env_id": null}
r,l,t
-650.343,129,0.908564
-402.7045,78,1.270535
-716.762,218,2.272263
-576.749426,179,3.108061
-721.101271,305,4.512459
-289.838764,127,5.088963
-457.055532,256,6.263212
-226.565235,101,6.757036
-205.568456,96,7.186522
-151.777778,56,7.435595
-235.008505,108,7.932648
-299.777304,165,8.676018
-171.459544,89,9.073116
-341.283243,238,10.141036
-145.926544,159,10.848899
-109.757778,84,11.224914
-95.134811,93,11.642867
-118.328889,156,12.337054
-100.611111,60,12.604604
-103.337778,69,12.914927
-104.285756,64,13.198009
-102.731111,62,13.479269
-104.294033,101,13.927265
-109.090189,90,14.328986
-103.228889,58,14.590375
-123.573122,98,15.023544
-108.368538,51,15.251166
-118.3,64,15.541934
-104.896044,86,15.924702
-120.388889,131,16.51435
-106.272589,99,16.950109
-110.977778,110,17.439919
-114.014258,71,17.764492
-110.228889,80,18.121528
-105.166667,84,18.521468
-104.736256,81,18.894571
-121.030463,155,19.598409
-113.128433,123,20.143888
-113.088433,124,20.702037
-110.0565,144,21.350172
-119.338878,91,21.755036
-101.836211,82,22.118136
-100.037778,56,22.374283
-109.8648,105,22.844055
-113.638256,151,23.516435
-108.944111,107,23.990976
-117.267467,76,24.330655
-115.048433,77,24.678512
-103.946789,78,25.023704
-111.990656,47,25.240536
-104.6,58,25.495697
-124.7841,153,26.180943
-104.293333,114,26.692012
-117.059358,78,27.039776
-122.794644,95,27.465515
-113.304933,110,27.956513
-102.344444,69,28.26595
-99.146667,30,28.400355
-115.564444,64,28.68703
-97.194889,74,29.018632
-101.4474,71,29.334016
-103.659089,104,29.7976
-131.865633,180,30.597291
-104.171111,58,30.851555
-113.373822,154,31.540463
-109.550289,71,31.857336
-115.027967,147,32.516765
-117.414942,74,32.854545
-98.467967,61,33.126452
-97.997778,43,33.315727
-96.666667,52,33.551255
-111.541522,110,34.040443
-100.342222,51,34.267945
-98.137533,55,34.513969
-102.108844,86,34.896699
-108.285744,100,35.342621
-95.757567,112,35.846161
-132.3467,157,36.545328
-95.743167,97,36.981133
-101.893333,51,37.214844
-121.089589,140,37.837073
-111.98,126,38.398331
-112.362133,122,38.944993
-99.995556,60,39.215506
-97.387922,40,39.394506
-99.86,63,39.67806
-102.001311,41,39.860371
-102.711111,53,40.099117
-111.125844,87,40.485087
-111.2037,82,40.849476
-102.2302,42,41.041331
-97.304444,64,41.328897
-106.9613,86,41.712067
-130.033967,186,42.540149
-112.409278,69,42.850275
-98.08,88,43.241098
-95.437778,56,43.496394
-99.422222,38,43.662678
-98.317111,75,43.997271
-107.752422,83,44.370829
-111.793722,111,44.86967
-102.454033,109,45.370235
-104.543167,100,45.816611
-103.334033,53,46.049409
-100.030189,41,46.237953
-139.148889,164,46.964846
-97.722222,95,47.390665
-111.370189,57,47.649147
-104.123989,94,48.077443
-110.5,68,48.376839
-98.531111,46,48.580898
-107.651111,75,48.915215
-102.625744,77,49.263907
-101.228067,140,49.889038
-113.713367,111,50.382964
-95.022222,94,50.803876
-108.255556,96,51.231533
-120.071967,97,51.66307
-109.261767,69,51.972666
-106.712422,78,52.327842
-105.042222,62,52.602753
-106.297778,78,52.95376
-140.615511,205,53.87308
-100.304444,84,54.250081
-114.897778,108,54.728613
-101.628889,62,55.009289
-95.008889,89,55.40205
-101.022222,42,55.593562
-104.953333,124,56.148
-102.035556,70,56.461362
-103.397778,77,56.80378
-99.504444,54,57.047019
-97.886667,41,57.229441
-108.611111,79,57.58323
-104.968222,65,57.874073
-122.297522,112,58.375748
-107.826211,83,58.749957
-135.596867,139,59.371264
-107.856867,70,59.684746
-111.608889,67,59.981592
-100.211111,63,60.266616
-100.833333,76,60.605471
-131.691144,176,61.389384
-102.988889,80,61.746549
-104.781767,122,62.292404
-101.051111,51,62.528077
-119.535133,126,63.088133
-102.442222,60,63.357652
-108.722222,102,63.81613
-95.388889,58,64.083105
-98.359078,119,64.615674
-111.713367,110,65.111109
-127.726444,125,65.668677
-106.311111,59,65.931366
-103.242222,73,66.261231
-107.784444,65,66.552034
-109.7179,105,67.019274
-103.502222,78,67.372409
-95.886667,97,67.803983
-100.644444,80,68.160514
-102.472422,103,68.621543
-97.988889,41,68.803836
-100.193333,54,69.046615
-103.511111,89,69.439709
-108.113333,64,69.726521
-103.675556,89,70.126327
-98.922222,36,70.286381
-103.551811,125,70.848922
-100.926622,94,71.273228
-113.022222,88,71.668408
-109.435556,107,72.143019
-109.008889,76,72.482326
-103.228889,104,72.948379
-94.371111,78,73.307681
-101.915556,49,73.526838
-102.404444,76,73.87397
-98.8751,59,74.132517
-108.319956,59,74.397615
-106.491111,81,74.758416
-109.917778,134,75.355544
-95.277778,65,75.645736
-99.153333,61,75.916749
-100.771111,81,76.282472
-104.022222,78,76.627505
-112.966667,116,77.143297
-107.567978,125,77.703697
-118.282222,95,78.130348
-116.339089,120,78.667764
-102.536956,95,79.095916
-105.072878,103,79.55902
-118.727779,116,80.081682
-118.789289,141,80.709538
-97.545222,93,81.127035
-117.715044,118,81.66108
-131.102222,130,82.241041
-102.394644,48,82.451814
-124.206667,208,83.392785
-111.569589,64,83.684043
-101.845844,69,83.986471
-97.172511,62,84.268591
-128.719856,125,84.824317
-112.763533,116,85.339278
-101.555556,65,85.634513
-119.009856,119,86.168969
-107.448678,81,86.529149
-104.457111,114,87.045732
-126.676956,120,87.582668
-114.247978,90,87.987716
-107.721256,115,88.507376
-105.387978,62,88.781868
-105.344444,99,89.22984
-116.639967,153,89.915734
-107.126667,78,90.268163
-96.782222,149,90.933181
-115.090978,136,91.578453
-109.5351,83,91.951277
-114.863626,80,92.307414
-91.608067,126,92.860551
-105.126422,84,93.235008
-113.444467,147,93.879814
-129.814256,125,94.437591
-115.476,114,94.982141
-93.304189,65,95.276546
-107.545222,54,95.517568
-106.076911,70,95.825819
-106.034889,62,96.096712
-108.708222,157,96.792132
-103.878233,141,97.413096
-106.635556,56,97.659224
-110.147444,86,98.074902
-107.546233,78,98.426327
-107.408889,72,98.744492
-98.965222,45,98.945885
-111.947233,78,99.296338
-104.842711,90,99.696816
-110.587367,107,100.17224
-113.633822,106,100.643879
-120.110144,103,101.110077
-102.950111,126,101.678778
-108.608467,125,102.237223
-100.615556,46,102.441699
-104.914633,42,102.633422
-121.426456,134,103.231709
-106.730189,73,103.553798
-108.138256,78,103.905232
-96.905844,48,104.116357
-113.055556,73,104.44662
-103.999256,81,104.806909
-117.390067,89,105.20635
-129.661344,170,105.976902
-107.183622,52,106.206397
-101.322222,54,106.452029
-118.303167,101,106.901792
-105.102222,85,107.281689
-104.252511,141,107.921995
-101.984444,70,108.235715
-101.456867,49,108.451084
-110.9572,140,109.085247
-102.990922,50,109.309433
-115.055556,187,110.149388
-111.830289,92,110.564538
-108.023022,122,111.114794
-89.96,83,111.485496
-100.344444,42,111.681629
-102.368889,64,111.964543
-108.260489,96,112.39919
-100.268144,72,112.7192
-106.234033,103,113.181409
-128.854033,214,114.132876
-108.893678,134,114.733616
-110.9853,92,115.149998
-112.216867,102,115.608928
-106.002789,78,115.960098
-109.238122,116,116.476671
-112.142922,105,116.944736
-97.735556,50,117.16828
-127.149078,240,118.23425
-122.291456,128,118.800655
-98.458589,62,119.080914
-127.326033,135,119.681666
-107.370367,76,120.020402
-99.136211,77,120.360733
-120.942567,127,120.929899
-104.377778,45,121.130671
-114.533611,132,121.717293
-103.037778,64,122.00716
-112.880322,87,122.395113
-118.020756,167,123.143422
-103.9808,93,123.55445
-110.759956,115,124.067518
-113.802867,142,124.704107
-107.903944,99,125.147658
-103.055556,62,125.421179
-121.913289,203,126.32745
-103.077778,101,126.77636
-101.9253,121,127.314973
-128.294544,154,128.005867
-104.455556,40,128.186765
-99.108889,53,128.419907
-101.233333,42,128.613055
-96.523522,121,129.149527
-102.307144,143,129.789294
-109.364444,108,130.265675
-97.620033,62,130.546263
-103.021522,86,130.933799
-101.6102,52,131.167529
-109.945922,109,131.654467
-100.694278,41,131.836433
-94.354278,57,132.100801
-111.694189,81,132.461297
-104.405711,133,133.049085
-104.040944,117,133.574017
-98.610289,70,133.886284
-112.867978,72,134.203969
-108.821767,125,134.759929
-138.818267,154,135.446923
-113.767922,106,135.917908
-101.683522,78,136.271488
-100.105922,71,136.586699
-100.757778,55,136.832167
-105.504444,91,137.236221
-102.055878,104,137.700828
-103.227611,61,137.972432
-105.231111,64,138.259209
-104.668889,63,138.542282
