#{"t_start": 1675255884.8766785, "env_id": null}
r,l,t
-556.9938,118,1.177219
-1742.0975,425,3.096713
-684.2183,179,3.911163
-1343.4927,426,5.855237
-975.738662,329,7.338151
-448.551242,159,8.053725
-467.976342,193,8.909838
-224.702511,86,9.286119
-246.6853,93,9.697758
-199.708678,77,10.03281
-180.100119,59,10.295913
-185.708495,54,10.536227
-320.825951,156,11.228096
-200.646921,87,11.620807
-171.124339,59,11.879834
-248.594968,97,12.317941
-182.026322,101,12.761673
-229.691792,133,13.361369
-185.607484,210,14.306379
-123.835344,136,14.911663
-139.335556,174,15.679502
-99.802222,70,16.023596
-117.705544,102,16.477087
-128.764036,134,17.078301
-117.576785,94,17.500598
-123.073522,132,18.084435
-109.559089,102,18.536669
-107.055556,67,18.84125
-107.788889,58,19.101335
-115.071111,113,19.607152
-106.222222,78,19.957734
-108.255556,99,20.392917
-112.815556,100,20.83896
-103.699956,67,21.141989
-106.766667,69,21.454193
-103.544444,85,21.834085
-97.488889,71,22.148557
-104.7,79,22.500945
-111.86,119,23.023336
-111.633333,57,23.285812
-101.891111,69,23.598548
-101.011111,88,23.991545
-100.571111,62,24.274541
-99.944444,29,24.399249
-106.875556,85,24.779024
-111.128889,89,25.178211
-99.791111,68,25.485129
-99.844444,102,25.940436
-99.388889,37,26.109278
-102.164444,83,26.476054
-107.605756,85,26.855178
-99.628889,67,27.157593
-106.952422,103,27.612433
-114.451389,120,28.154535
-97.464444,64,28.441169
-96.337778,41,28.622957
-100.544444,64,28.910242
-108.834278,97,29.344838
-104.557778,75,29.678899
-117.245756,143,30.317235
-112.879544,97,30.746873
-104.266667,66,31.045465
-101.625144,80,31.401004
-104.022222,92,31.807652
-103.503989,67,32.104116
-106.104444,117,32.638009
-99.722222,25,32.749673
-116.644444,83,33.117012
-107.702222,58,33.382338
-108.564444,84,33.760278
-120.77731,134,34.361746
-108.577778,85,34.74105
-105.592422,89,35.131817
-108.357778,120,35.673005
-100.952511,105,36.142684
-105.363744,107,36.630208
-110.653333,78,36.974215
-106.473333,70,37.285849
-105.52,93,37.705677
-99.788889,59,37.970268
-114.386667,81,38.329675
-119.377778,133,38.924297
-105.377778,79,39.271732
-116.4302,85,39.650872
-108.835556,73,39.978891
-108.964444,72,40.302879
-101.905844,86,40.700658
-111.966667,61,40.97543
-117.560468,124,41.531547
-106.006211,82,41.8941
-97.3,52,42.123571
-112.824444,70,42.436467
-109.239544,129,43.012916
-98.922222,83,43.386183
-98.733333,43,43.574643
-98.822222,55,43.819993
-102.655556,51,44.051958
-106.091111,92,44.459801
-96.166667,67,44.75612
-105.764444,73,45.086173
-106.911111,73,45.414084
-110.5,80,45.772345
-117.922222,140,46.399961
-103.8,77,46.74192
-110.255556,121,47.280543
-97.955556,74,47.618
-98.022222,39,47.793952
-111.006667,119,48.325025
-98.966667,51,48.5518
-115.081311,137,49.158218
-118.317778,159,49.8679
-100.513333,131,50.449342
-106.231111,103,50.911316
-111.888889,96,51.336941
-100.022222,58,51.59898
-101.055556,48,51.809278
-107.986667,88,52.204598
-106.329744,82,52.567546
-102.208889,117,53.092485
-98.299956,60,53.359948
-101.308644,97,53.790312
-106.433333,53,54.029057
-110.453456,76,54.366744
-104.396842,94,54.793417
-106.831111,109,55.273864
-99.055556,68,55.580386
