model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1588.3679],[256]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-391.0],[294]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-391.0],[294]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-391.0],[294]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1125.3701],[314]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1109.3562],[308]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1109.3562],[308]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1434.798],[328]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1548.3003],[304]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1647.7807],[282]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-350.86],[255]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-350.86],[255]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-350.86],[255]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-908.0381],[247]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-946.7438],[261]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-946.7438],[261]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1009.2942],[221]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1335.1759],[259]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1301.7482],[232]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1757.07],[333]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1757.07],[333]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1757.07],[333]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1824.7614],[403]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4242.65],[415]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4415.41],[433]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-107.74],[471]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-213.9741],[401]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1227.8453],[486]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2516.43],[484]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2516.43],[484]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2516.43],[484]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2176.9],[484]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4278.09],[419]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5097.63],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-98.1],[451]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-229.2],[387]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1716.6557],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2572.49],[497]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2572.49],[497]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2572.49],[497]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2232.8],[497]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4677.38],[460]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3880.69],[379]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-85.5834],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-103.9351],[496]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1615.11],[497]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2454.51],[475]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2454.51],[475]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2454.51],[475]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2083.2001],[464]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-3982.47],[390]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4654.3],[457]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-95.17],[490]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-161.45],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1654.4146],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2318.12],[444]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2318.12],[444]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2318.12],[444]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2004.9],[444]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5098.69],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5078.59],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-75.71],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-181.6771],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1486.1668],[500]
