model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1861.3181],[279]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-322.9],[231]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1038.6142],[290]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-859.0],[231]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-859.0],[231]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1252.3867],[274]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1161.2367],[231]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1698.7518],[302]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-329.7],[238]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-765.5688],[205]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-976.685],[269]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-976.685],[269]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-988.7338],[231]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1266.76],[237]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1321.5459],[232]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2044.14],[390]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1812.3846],[401]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4200.27],[412]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4211.79],[413]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-79.37],[399]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-115.44],[399]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1326.8891],[407]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2458.75],[472]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2125.3],[472]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5067.13],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5056.82],[497]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-106.7],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-222.8],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1603.3213],[463]
