model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1494.6449],[271]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-407.52],[309]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-407.52],[309]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-407.52],[309]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1049.9442],[290]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1116.4],[309]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1116.4],[309]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1371.5927],[326]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1555.5],[309]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1972.1845],[311]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-429.96],[369]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-429.96],[369]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-429.96],[369]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1065.727],[296]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1336.9747],[377]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1336.9747],[377]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1286.7054],[347]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1615.1515],[333]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1754.3914],[389]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1981.27],[378]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1981.27],[378]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1981.27],[378]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1721.1],[378]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-3583.41],[350]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3286.81],[320]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-95.0],[408]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-468.58],[482]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1314.3813],[422]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2535.19],[488]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2535.19],[488]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2535.19],[488]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1871.9315],[414]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5053.13],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4509.81],[441]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-103.1],[484]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-114.97],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1607.55],[488]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2578.34],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2578.34],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2578.34],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2233.9443],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4428.69],[435]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4321.81],[425]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-84.22],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-117.13],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1727.0352],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2525.04],[490]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2525.04],[490]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2525.04],[490]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2233.7668],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5058.04],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4947.0],[486]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-103.858],[477]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-183.143],[443]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1663.058],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-1941.47],[367]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-1941.47],[367]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-1941.47],[367]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1673.8],[367]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4819.4],[470]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4574.66],[448]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-102.57],[493]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-345.49],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1636.6728],[500]
