model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1510.863],[244]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-398.48],[309]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1098.8441],[306]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1053.0159],[291]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1053.0159],[291]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2353.1353],[364]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1626.68],[309]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1427.4542],[359]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-407.2],[326]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-407.2],[326]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-407.2],[326]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1164.4884],[327]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1191.8621],[333]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1191.8621],[333]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1312.8505],[297]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1214.701],[277]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1506.0602],[296]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2213.52],[423]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2213.52],[423]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2213.52],[423]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2075.1211],[463]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4430.77],[435]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4207.72],[412]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-86.61],[383]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-169.7928],[404]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1527.44],[455]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2298.63],[443]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2298.63],[443]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2298.63],[443]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-1984.312],[441]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4158.48],[407]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4910.72],[482]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-141.08],[461]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-201.49],[420]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1203.3067],[491]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2244.62],[430]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2244.62],[430]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2244.62],[430]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2019.9667],[452]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5068.64],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3722.14],[363]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-103.33],[407]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-134.91],[426]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1494.3759],[445]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2176.76],[416]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2176.76],[416]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2176.76],[416]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2147.7544],[479]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4871.26],[478]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5080.83],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-91.44],[444]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-190.15],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1531.0567],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2397.99],[462]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2397.99],[462]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2397.99],[462]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2082.3],[462]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4808.9],[472]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4343.46],[427]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-102.0],[469]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-166.1751],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1543.4002],[500]
