model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2215.2863],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-579.28],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1738.432],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1734.4054],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1734.4054],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2058.353],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2323.46],[500]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2028.4609],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-602.54],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-602.54],[500]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-602.54],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1730.5304],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1738.4273],[500]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1738.4273],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2264.0961],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2576.88],[500]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2528.6437],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2543.62],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2543.62],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2543.62],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2241.1747],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5062.42],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5042.12],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-81.79],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-89.56],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1719.78],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2530.03],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2530.03],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2530.03],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2241.1542],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5019.72],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5033.04],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-52.47],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-181.45],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1637.79],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2525.29],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2525.29],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2525.29],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2241.014],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5044.84],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5023.65],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-31.27],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-47.06],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1655.6328],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2554.45],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2554.45],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2554.45],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2229.5719],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5033.2],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5026.07],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-38.69],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-161.7307],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1695.0],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-2536.39],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-2536.39],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-2536.39],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-2245.07],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-5019.12],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-5002.59],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-22.16],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-58.69],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-1715.1245],[500]
