model,reward,lenght
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1355.068854],[263]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-1788.5],[351]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-1788.5],[351]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-1788.5],[351]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1788.5],[351]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1788.5],[351]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1781.5],[351]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-2327.732392],[462]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-2438.491045],[450]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-2173.975354],[399]
./logs_dir/TEST_models\PPO\PPO_df_075_50_nodes.zip,[-1330.16],[271]
./logs_dir/TEST_models\PPO\PPO_lr_001_50_nodes.zip,[-1330.16],[271]
./logs_dir/TEST_models\PPO\PPO_std_50_nodes.zip,[-1330.16],[271]
./logs_dir/TEST_models\A2C\A2C_df_075_50_nodes.zip,[-1330.16],[271]
./logs_dir/TEST_models\A2C\A2C_lr_001_50_nodes.zip,[-1330.16],[271]
./logs_dir/TEST_models\A2C\A2C_std_50_nodes.zip,[-1033.133333],[218]
./logs_dir/TEST_models\DQN\DQN_df_075_50_nodes.zip,[-1024.365837],[202]
./logs_dir/TEST_models\DQN\DQN_lr_001_50_nodes.zip,[-1034.738115],[201]
./logs_dir/TEST_models\DQN\DQN_std_50_nodes.zip,[-1186.153544],[246]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-4001.57],[464]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-4001.57],[464]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-4001.57],[464]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-4300.804096],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4232.200891],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4001.57],[464]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3986.801531],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-3968.593167],[413]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-4241.937708],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-4360.92],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-4360.92],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-4360.92],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-4571.69802],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4360.92],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4360.92],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-4389.676849],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-4288.906935],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-4312.554667],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3132.17],[388]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-4065.301327],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-4141.214308],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-4017.511176],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-3958.93],[500]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-3958.93],[500]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-3958.93],[500]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-3980.008317],[500]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-3958.93],[500]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-3958.93],[500]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3780.222288],[500]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-4137.907749],[500]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-4265.397696],[500]
./logs_dir/TEST_models\PPO\PPO_df_075_100_nodes.zip,[-4188.02],[431]
./logs_dir/TEST_models\PPO\PPO_lr_001_100_nodes.zip,[-4188.02],[431]
./logs_dir/TEST_models\PPO\PPO_std_100_nodes.zip,[-4188.02],[431]
./logs_dir/TEST_models\A2C\A2C_df_075_100_nodes.zip,[-4499.815842],[464]
./logs_dir/TEST_models\A2C\A2C_lr_001_100_nodes.zip,[-4188.02],[431]
./logs_dir/TEST_models\A2C\A2C_std_100_nodes.zip,[-4188.02],[431]
./logs_dir/TEST_models\DQN\DQN_df_075_100_nodes.zip,[-3054.6654],[384]
./logs_dir/TEST_models\DQN\DQN_lr_001_100_nodes.zip,[-3580.374569],[493]
./logs_dir/TEST_models\DQN\DQN_std_100_nodes.zip,[-4235.819398],[435]
