#{"t_start": 1675971722.4320471, "env_id": null}
r,l,t
-5052.045338,500,2.369786
-2889.8791,273,3.767802
-3353.956269,333,5.434321
-5018.462892,500,7.909207
-4549.049192,474,10.221317
-3033.875077,313,11.742691
-3929.890223,384,13.625873
-2993.343977,309,15.099009
-3378.586246,346,16.792869
-2586.743046,251,18.107883
-3669.721338,364,19.848696
-4834.528162,500,22.313416
-3963.3396,413,24.402672
-3155.881277,308,25.973159
-3816.326646,373,27.835123
-5028.495262,500,30.348145
-3986.845731,406,32.305171
-2755.309585,284,33.775441
-4923.073623,500,36.175712
-2929.132562,287,37.618575
-2671.621669,270,39.012623
-2813.192615,273,40.403057
-2623.506577,254,41.667293
-5076.270023,500,44.205909
-4988.491146,500,46.575264
-3497.102462,347,48.28411
-4935.571292,500,50.740209
-4754.397262,477,53.135949
-5063.140769,500,55.645906
-2872.504931,275,57.054534
-4647.3675,470,59.39713
-4826.659354,472,61.795762
-3738.488908,374,63.684202
-3627.751238,358,65.52714
-2965.777423,283,67.018198
-4813.113677,500,69.396272
-4836.574015,500,71.943297
-5008.543054,500,74.535629
-4422.664223,440,76.706809
-4854.077777,482,79.164959
-4974.700546,500,81.575731
-3070.1875,309,83.090359
-4821.210631,500,85.610832
-3240.874438,302,87.199537
-1979.146631,195,88.234177
-3282.084815,321,89.798262
-2934.304115,303,91.378319
-3555.566546,360,93.206161
-2393.100369,231,94.379079
-4712.130146,469,96.70313
-3683.928485,381,98.448106
-4384.332046,425,100.666604
-2981.968031,289,102.171839
-2405.000254,235,103.371465
-4888.446377,500,105.827339
-4805.540792,500,108.460546
-2880.731823,291,109.91784
-3399.654823,338,111.557492
-3303.7598,325,113.242473
-4890.908592,500,115.695063
-4948.440662,497,118.22368
-4090.214477,408,120.312373
-3469.553946,356,122.037791
-3567.291192,369,123.93048
-3121.709738,298,125.3967
-3243.775146,319,126.989475
-4085.3299,411,128.973741
-4857.517954,490,131.351227
-3512.955115,373,133.231498
-5052.180877,500,135.762339
-3826.478792,368,137.507514
-4614.764031,460,139.710139
-3895.299177,388,141.601245
-4897.497554,500,143.987448
-3577.427608,365,145.785009
-5028.369169,500,148.347822
-3328.854254,336,150.012788
-4800.361615,486,152.35803
-3156.862154,313,153.907375
-2897.776046,275,155.304635
-4333.430631,430,157.304827
-3987.062985,413,159.367287
-5021.366985,500,161.873268
-2459.748531,243,163.098666
-4014.493231,404,165.068879
-3344.566108,336,166.779499
-4911.918446,500,169.248529
-2950.2984,309,170.806841
-4872.771108,496,173.182364
-5127.566192,495,175.688894
-2804.678215,274,177.062174
-4031.730392,420,179.099844
-3417.587831,328,180.649285
-3925.195185,388,182.502109
-2927.691192,289,183.921062
-2822.843854,275,185.295993
-3377.147723,321,186.878283
-4337.298246,440,189.215336
-3825.401715,386,191.148554
-2695.430823,273,192.455751
-4862.468438,500,194.931504
-3020.830854,295,196.45361
-3955.974023,380,198.384835
-2901.591954,281,199.784688
-4842.339208,500,202.12956
-4869.025262,500,204.566305
-3620.701908,369,206.407076
-2469.024631,247,207.584554
-2915.543754,309,209.152967
-4568.799431,473,211.44848
-2185.820408,203,212.485694
-2595.278123,255,213.837886
-4193.403738,422,215.897166
-5007.0847,496,218.339769
-3449.515862,347,220.084444
-4550.748385,474,222.458237
-4215.2154,418,224.546445
-4472.379354,446,226.838489
-2285.656123,211,227.908662
-3633.278354,384,229.789484
-3464.112854,348,231.512296
-4976.351508,500,233.999136
-3823.422831,377,235.924288
-4658.354977,500,238.458668
-4585.679831,461,240.654475
-3838.995838,410,242.660226
-3484.2008,337,244.372255
-3403.771323,353,245.979476
-3758.462262,358,247.795642
-2479.352254,318,250.178322
-1454.253469,296,253.021548
-1046.398223,176,254.734116
-1034.027192,302,257.6643
-636.73264,291,260.400832
-429.336131,234,262.653488
-533.257288,286,265.366416
-528.26822,328,268.432263
-256.488927,266,270.979652
-329.380453,279,273.627767
-365.894423,353,276.989724
-276.232877,368,280.502089
-409.161727,301,283.36612
-279.150146,317,286.582575
-258.533643,224,288.739677
-233.152338,301,291.630904
-349.417738,253,294.066279
-151.72914,191,295.911445
-257.195508,288,298.746989
-402.503823,392,302.506059
-326.622108,256,304.948432
-246.7903,270,307.532783
-201.778046,339,310.799906
-206.523138,319,313.84293
-125.453855,210,315.843109
-210.632445,246,318.208087
-578.428877,284,320.954034
-219.301815,296,323.784441
-251.999246,333,326.985121
-257.049638,215,329.046836
-221.586154,264,331.645612
-186.492853,250,334.065814
-339.261923,420,338.153022
-223.307733,299,341.110448
-235.025254,314,344.248372
-239.9799,296,347.116617
-341.908108,292,349.890124
-280.299441,366,353.336851
-319.868952,275,355.934571
-546.728616,351,359.129635
-321.911415,311,362.022332
-270.140446,263,364.457197
-271.724554,302,367.249118
-285.361,327,370.325005
-261.015662,317,373.290978
-281.874915,275,375.87471
-192.500646,253,378.251045
-367.123092,354,381.59926
-263.873814,238,383.806679
-387.247338,487,388.356547
-255.070654,348,391.628173
-316.260615,319,394.679234
-326.697208,398,398.438178
-224.86056,355,401.773023
-346.892438,327,404.858739
-450.906908,317,407.81449
-256.0243,307,410.709012
-289.333969,302,413.549592
-356.259969,272,416.11613
-325.693541,331,419.235455
-272.389215,281,421.84757
-285.650238,350,425.129169
-217.915523,286,427.782255
-329.112041,303,430.629068
-197.497523,224,432.718936
-421.281046,378,436.430099
-241.641046,278,439.013258
-450.825985,358,442.382055
-238.440854,297,445.161552
-433.057391,331,448.256727
-352.076311,357,451.57287
-541.965592,398,455.224231
-267.492315,353,458.500759
-470.959841,393,462.126878
-435.100631,251,464.449736
-231.231708,271,466.971966
-398.058257,306,469.769511
-373.660523,363,473.130941
-599.461074,442,477.203547
-512.268177,409,481.589028
-308.802746,286,484.257033
-248.773506,232,486.390795
-261.887932,243,488.633913
-296.463409,352,491.882576
-508.736085,391,495.464096
-270.940531,322,498.437435
