#{"t_start": 1675959714.9918628, "env_id": null}
r,l,t
-4841.786969,500,7.21186
-3441.784177,358,9.011735
-2017.580615,206,10.041197
-3690.267638,372,11.855207
-4457.712531,453,13.99313
-5049.711354,500,16.36853
-5031.755954,500,18.780644
-4892.584492,500,21.366215
-3007.289308,299,22.918776
-4736.8338,500,25.441892
-3744.418515,387,27.398306
-3472.778977,342,29.013131
-2199.170546,211,30.092389
-4900.606192,500,32.482887
-3204.438792,328,34.205027
-4962.007215,500,36.690049
-3655.5304,373,38.550319
-3650.932708,366,40.313684
-2833.018431,285,41.740989
-4943.862015,493,44.253689
-3839.261854,376,45.969656
-4044.122115,408,48.01047
-4329.334915,444,50.24007
-3428.3786,345,52.004832
-4949.589177,500,54.660015
-2919.965869,292,56.101414
-5015.070315,500,58.589421
-4536.960792,457,60.791128
-4876.741392,500,63.323553
-3252.479538,318,64.946731
-3954.480423,400,66.920234
-2384.009815,221,68.063106
-4177.042285,418,70.130107
-2668.3105,272,71.511517
-4861.393331,500,73.870368
-3549.408708,360,75.751108
-5014.798762,500,78.255008
-2749.023769,272,79.665152
-4766.242054,477,82.113663
-3714.326223,364,83.969974
-3098.502331,301,85.501475
-4829.307415,500,87.945816
-4858.148569,500,90.345755
-4878.167292,500,92.89168
-4982.480808,500,95.381897
-3387.366777,337,97.099729
-4914.245092,500,99.596071
-4038.995415,406,101.677147
-3143.675331,313,103.256262
-4934.733685,500,105.718891
-4563.023162,481,108.013307
-3060.0304,318,109.63685
-2736.450508,274,111.018536
-2737.439977,267,112.381768
-3776.114223,367,114.223964
-3852.082192,367,115.962437
-3160.713046,316,117.590184
-4736.970946,500,120.118297
-4219.1396,438,122.18336
-3473.296415,339,123.852808
-4703.508638,483,126.333143
-4596.372385,483,128.609861
-4346.312285,451,130.873852
-4128.189346,409,132.837576
-4640.285169,469,135.160041
-4915.839408,500,137.607544
-4601.470238,485,139.947143
-3315.268885,333,141.795898
-4850.312831,500,144.225597
-3934.509769,388,146.215897
-4284.611462,436,148.281972
-4835.811238,500,150.639679
-2755.633377,282,152.078572
-3609.715785,374,153.900448
-3879.579546,386,155.76961
-3547.919862,366,157.660064
-2530.1327,246,159.047223
-4960.283846,500,161.472506
-3657.826908,363,163.259763
-4249.9477,425,165.427161
